# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Fri Apr 25 20:57:46 UTC 2025
# PARSEC isochrones, release v1.1 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00031003 -1.70000 10.07918 0.8077345490 2.4213996189    0.741  1.799  3.7613  2.506    4 0.273 0.221 0.506 -0.236
0.00031003 -1.70000 10.07918 0.8077864647 2.4214173762    0.741  1.813  3.7566  2.473    4 0.238 0.189 0.483 -0.278
0.00031003 -1.70000 10.07918 0.8078362942 2.4214344176    0.741  1.841  3.7497  2.418    4 0.168 0.124 0.432 -0.359
0.00031003 -1.70000 10.07918 0.8078635931 2.4214437526    0.741  1.873  3.7429  2.358    4 0.087 0.048 0.370 -0.450
0.00031003 -1.70000 10.07918 0.8078776598 2.4214485625    0.741  1.909  3.7363  2.295    4 -0.004 -0.037 0.299 -0.550
0.00031003 -1.70000 10.07918 0.8078840375 2.4214507432    0.741  1.948  3.7302  2.233    4 -0.099 -0.126 0.224 -0.653
0.00031003 -1.70000 10.07918 0.8078870177 2.4214517622    0.741  1.986  3.7250  2.174    4 -0.196 -0.217 0.145 -0.757
0.00031003 -1.70000 10.07918 0.8078885078 2.4214522717    0.741  2.022  3.7210  2.122    4 -0.285 -0.301 0.071 -0.850
0.00031003 -1.70000 10.07918 0.8078885674 2.4214522920    0.741  2.025  3.7206  2.117    4 -0.294 -0.309 0.063 -0.860
0.00031003 -1.70000 10.07918 0.8078886271 2.4214523124    0.741  2.026  3.7206  2.116    4 -0.295 -0.310 0.063 -0.860
0.00031003 -1.70000 10.07918 0.8078896403 2.4214526589    0.741  2.063  3.7171  2.065    4 -0.389 -0.399 -0.018 -0.958
