408|2008AJ....135..836C|Carrera et al.                         Cat. J/AJ/135/836
409|2010AJ....139.1168P|Parisi et al.                          Cat. J/AJ/139/1168
410|2009ApJ...705..328K|Kirby et al.                           Cat. J/ApJ/705/328
411|2006AJ....131..895K|Koch et al.                            Cat. J/AJ/131/895
412|2010ApJ...710.1664D|de Jong et al.                         Cat. J/ApJ/710/1664
413|1996AJ....112.1975G|Grillmair et al.
415|2005MNRAS.356..979M|McConnachie et al.
416|2011ApJ...729...23B|Brasseur et al.
417|2010ApJ...711..671K|Kalirai et al.
419|2010ApJ...711..361G|Geha et al.                            Cat. J/ApJ/711/361
420|2009MNRAS.400.1472L|Letarte et al.
421|2009AstL...35..748T|Tikhonov & Galazutdinova               Cat. J/PAZh/35/829
422|1995AJ....110.1129L|Lee
423|2010ApJ...712.1259B|Bernard et al.                         Cat. J/ApJ/712/1259
424|1999AJ....118..862M|Martinez-Delgado et al.
425|2001MNRAS.327..918T|Tolstoy et al.                         Cat. J/MNRAS/327/918
426|2007MNRAS.375.1364L|Lewis et al.
427|2009ApJ...699....1L|Leaman et al.
428|2007ApJ...659L..17C|Cole et al.
429|2006MNRAS.373..715M|McConnachie et al.
430|2009A&A...499..121F|Fraternali et al.
431|2002A&A...384..393M|Momany et al.
432|2011A&A...527A..58B|Bellazzini et al.
433|2008AJ....136.2332H|Hidalgo et al.
434|1997AJ....114.1447A|Aparicio et al.
435|1996ApJ...461..713S|Sakai et al.
436|2008MNRAS.384.1544S|Sharina et al.                         Cat. J/MNRAS/384/1544
437|2000AJ....119.2183A|Aparicio & Tikhonov
